Ordine delle risposte 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
0	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	1234	
1	1234	2134	2431	2431	3412	2314	4312	4321	2143	1342	3142	4231	3241	3241	1423	1432	1342	1234	2413	3124	1234	4123	1432	3412	4132	4132	3412	3214	1324	2143	4123	1432	2314	3241	1324	4213	2314	3241	2431	3142	
2	1234	3142	3124	2314	3214	3142	4312	4321	1243	3412	3421	1423	1324	4231	4321	1342	1234	1243	3214	2143	4213	1324	4312	1423	1324	2413	2314	2314	3241	3421	2314	2314	1432	4123	2143	3124	1423	3241	2143	3412	
3	2341	3214	1432	1342	2314	2413	1342	3214	1243	4321	1423	1324	4231	3241	1243	4312	2413	1342	1234	4231	2413	4312	4312	2341	4321	3142	3241	1342	3412	4312	3214	1234	1234	3421	3142	3142	3412	3412	1342	1423	
4	4312	2431	3124	1423	1324	3412	2134	3124	2341	1342	3214	3214	1432	1432	4123	3412	2134	3124	1234	3421	2413	2134	1234	2134	1423	1243	1324	3412	1243	3142	4123	4321	1243	2314	4213	4312	4312	2134	1423	1243	
5	4123	3142	2314	4132	1234	1324	2134	4123	3142	2134	2314	2143	3241	1342	2413	2314	1324	2143	2314	3241	1234	2413	2134	2413	2314	2314	3214	4123	1324	1243	3214	1423	1342	3124	3214	3124	1234	1423	3142	3412	
6	1423	4132	2134	2413	4132	1342	4312	2413	2413	1234	3124	4132	1324	2314	2413	4312	4231	4231	3412	1342	4231	4123	2314	2143	4321	4123	1432	1432	4132	1234	1243	1234	1342	1243	1432	2143	1342	1234	3412	2341	
7	4132	2341	2314	1324	3421	3142	2431	2314	4132	4231	1243	3124	1234	1324	3124	4231	1432	4231	2341	2314	1324	3124	3214	4312	2341	4231	4132	2134	3142	1423	4123	2143	4321	3214	4123	3241	2413	4231	4213	2341	
8	1234	1342	4312	2431	1342	1234	2341	4123	1324	4312	3412	3142	1324	4123	3241	4231	1234	4321	3241	3412	1342	1243	3421	3241	3241	4312	1432	1423	1243	3214	3124	4132	1432	4213	2314	2341	3241	1432	3241	1423	
9	3142	1342	2134	1423	3214	3124	2341	1423	1432	1234	4132	1342	3421	4132	2413	3241	1342	2413	3124	3241	1342	2431	2431	1324	4312	3124	3412	1243	4312	3241	4123	3241	3214	3124	1324	4312	1423	3124	3142	3214	
10	1234	3241	2341	2431	4312	3241	3214	1423	4231	4321	2413	4132	3412	3421	1342	2134	3241	1342	2431	3412	3241	2413	2413	4321	1324	2314	3241	4312	3124	2134	2341	4132	4312	1432	2431	1342	4123	2134	4312	2341	
11	1342	2431	3142	2143	3241	2431	1243	2341	2341	4231	1234	2314	4231	4123	2134	4123	1234	3124	4312	4123	4132	4321	1423	1243	3124	4213	1432	4213	4312	1324	3241	1243	1243	4123	1432	1234	1432	4231	1342	1243	
12	4213	1234	4321	2413	3124	4132	2341	1243	2413	3214	1342	4312	2431	1234	1342	2134	1324	3421	3124	4123	1243	3142	4213	3421	1324	1243	2413	4321	2143	3214	4123	2341	3412	3124	4231	4213	2413	1324	3214	4312	
