Lista delle soluzioni 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
0	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	
1	A	B	D	D	C	C	C	D	B	A	B	D	D	D	A	A	A	A	C	B	A	B	A	C	B	B	C	C	A	B	B	A	C	D	A	C	C	D	D	B	
2	A	B	B	C	C	B	C	D	A	C	D	A	A	D	D	A	A	A	C	B	C	A	C	A	A	C	C	C	D	D	C	C	A	B	B	B	A	D	B	C	
3	D	C	A	A	C	C	A	C	A	D	A	A	D	D	A	C	C	A	A	D	C	C	C	D	D	B	D	A	C	C	C	A	A	D	B	B	C	C	A	A	
4	C	D	B	A	A	C	B	B	D	A	C	C	A	A	B	C	B	B	A	D	C	B	A	B	A	A	A	C	A	B	B	D	A	C	C	C	C	B	A	A	
5	B	B	C	B	A	A	B	B	B	B	C	B	D	A	C	C	A	B	C	D	A	C	B	C	C	C	C	B	A	A	C	A	A	B	C	B	A	A	B	C	
6	A	B	B	C	B	A	C	C	C	A	B	B	A	C	C	C	D	D	C	A	D	B	C	B	D	B	A	A	B	A	A	A	A	A	A	B	A	A	C	D	
7	B	D	C	A	D	B	D	C	B	D	A	B	A	A	B	D	A	D	D	C	A	B	C	C	D	D	B	B	B	A	B	B	D	C	B	D	C	D	C	D	
8	A	A	C	D	A	A	D	B	A	C	C	B	A	B	D	D	A	D	D	C	A	A	D	D	D	C	A	A	A	C	B	B	A	C	C	D	D	A	D	A	
9	B	A	B	A	C	B	D	A	A	A	B	A	D	B	C	D	A	C	B	D	A	D	D	A	C	B	C	A	C	D	B	D	C	B	A	C	A	B	B	C	
