Ordine delle domande 
 versione 	q1	q2	q3	q4	q5	q6	q7	q8	q9	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21	q22	q23	q24	q25	q26	q27	q28	q29	q30	q31	q32	q33	q34	q35	q36	q37	q38	q39	q40	
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
1	2	13	36	27	4	40	16	39	5	26	11	23	10	1	7	34	14	18	22	38	15	12	24	9	17	30	37	32	29	31	6	35	28	20	21	8	3	19	25	33	
2	16	34	38	30	4	37	25	33	7	13	19	32	28	14	9	31	12	40	29	27	11	35	2	10	20	23	1	15	26	8	17	18	5	6	24	3	39	21	22	36	
3	26	10	12	5	32	27	35	2	39	9	34	40	4	33	1	3	15	25	36	29	38	22	37	23	30	24	31	16	28	8	11	20	7	21	18	13	17	14	6	19	
4	5	15	25	17	29	1	24	38	19	22	31	2	32	35	9	30	40	8	4	37	36	11	6	10	3	21	12	20	39	18	33	34	16	27	7	26	28	23	13	14	
5	9	22	1	16	10	27	12	7	37	33	8	36	39	2	15	18	31	17	26	3	34	30	23	35	40	14	5	13	32	20	4	25	11	29	38	19	21	24	28	6	
6	13	21	33	11	7	35	27	26	40	39	16	32	14	8	15	24	20	1	36	23	30	9	31	34	19	29	17	2	5	28	6	37	22	3	25	10	4	12	18	38	
7	26	11	5	16	33	17	10	25	19	8	15	22	21	14	29	37	35	13	6	23	24	9	31	30	27	38	40	1	3	20	36	12	34	4	32	18	28	7	39	2	
8	25	31	23	14	10	30	3	9	37	7	11	5	17	26	32	28	35	27	39	24	21	40	34	6	20	12	4	15	36	22	33	13	19	8	18	1	2	29	38	16	
9	40	36	32	34	1	10	19	38	27	4	28	21	7	12	24	31	16	11	33	13	18	26	25	15	3	17	22	2	14	20	29	9	5	6	8	30	39	35	23	37	
10	37	12	1	28	11	19	10	31	18	25	34	40	21	5	30	14	6	33	7	26	35	22	36	3	23	13	4	17	9	32	2	24	38	27	39	20	16	8	15	29	
11	25	35	6	11	7	24	27	15	29	33	23	2	28	31	19	21	39	8	9	3	32	37	13	16	4	30	26	1	14	22	38	20	36	10	5	17	18	12	34	40	
12	24	20	30	29	3	19	18	28	25	22	16	2	6	4	14	21	8	11	5	40	38	23	33	1	10	39	27	37	34	13	7	17	35	32	26	36	9	15	12	31	
13	1	35	32	29	37	6	24	2	5	26	27	7	39	3	38	9	21	10	18	30	17	22	11	33	19	40	14	20	15	28	16	13	23	4	31	36	8	25	34	12	
14	24	22	32	4	31	7	27	21	8	14	34	3	35	5	9	40	12	16	6	18	13	19	36	30	37	15	28	26	17	20	29	38	2	23	11	39	33	10	25	1	
