Project name:	2020-2021-3F-cph1-INFO
Project type:	INFO			# BES INFO	
Versions:	0			# number of different versions
Questions:	40
INPUT FILES:
questionlist:	2020-2021-3F-cph1-COMPLETE-questionlist.csv
mainlatex:	2020-2021-3F-cph1-main.tex
qfolder:	2020-2021-3F-cph1-questions
replacements:	

OUTPUT FILES:
qnumber:	2020-2021-3F-cph1-INFO-qnumber.csv
qcodes: 	2020-2021-3F-cph1-INFO-qcodes.csv
qanswerorder:	2020-2021-3F-cph1-INFO-qanswerorder.csv
qkey:   	2020-2021-3F-cph1-INFO-qkey.csv

givenanswers:	2020-2021-3F-cph1-givenanswers.csv

SUBSTITUTIONS
substitution1:	2020-2021-3F-cph1-substitutions.csv

img-dim:	6cm
# dimensione delle figure: 4.5cm, 4 columns
copy-dir: 	2020-2021-3F-cph1-copy
